Monitor	Latitude	Longitude	fourthmaxOzone	meanOzone	maxOzone	avgTemp	mean4MaxTemp	meanMaxTemp	nmonitors	TotPop	PctUrban	PctInUAs	PctInUCs	PctRural	PctWhite	PctBlack	PctHisp	PctHighSchool	MedianHHInc	PctPoor	PctFemale	TotHUs	PctUrbanHUs	PctRuralHUs	PctOccupied	PctMovedIn5	MedianHValue	PopPerSQM	Year	Month
"01027-0001"	33.281261	-85.802182	0.023	0.0252550760869565	0.073	74.5711799891304	77.0	84.8478260869565	2	10796	0.0	0.0	0.0	1.0	0.810670618747684	0.174416450537236	0.0149129307150797	0.367158921555345	27084.0	0.180713743356112	0.5194516487588	5039	0.0	1.0	0.870807699940464	0.384913400182315	61750.0	33.285978588501	2004.0	"6, 7, 8"
"01055-0011"	33.904039	-86.053867	0.026	0.0258161413043478	0.074	74.0532056956522	76.0	84.8152173913043	1	15838	0.52917034979164	0.52917034979164	0.0	0.47082965020836	0.952898093193585	0.0206465462810961	0.0103548427831797	0.29742883379247	46224.0	0.0615599416132513	0.51976259628741	6740	0.548219584569733	0.451780415430267	0.947922848664688	0.397871341367976	105800.0	281.027305821942	2004.0	"6, 7, 8"
"01071-0020"	34.876944	-85.720833	0.029	0.0369510326086957	0.074	72.2268065163044	72.5	80.7065217391304	2	7168	0.350027901785714	0.0	0.350027901785714	0.649972098214286	0.904994419642857	0.044921875	0.0139508928571429	0.371380612673101	31603.5	0.136026841884524	0.51953125	3180	0.379559748427673	0.620440251572327	0.89685534591195	0.41234221598878	66850.0	82.2303767066099	2004.0	"6, 7, 8"
"01073-1010"	33.545278	-86.549167	0.022	0.0225332173913043	0.092	74.0532056956522	76.0	84.8152173913043	1	39674	0.608811816302868	0.323889701063669	0.284922115239199	0.391188183697132	0.919014972021979	0.0611987699752987	0.0064273831728588	0.30828249560238	43608.0	0.0838382557992141	0.50660382114231	16237	0.612551579725319	0.387448420274681	0.938966557861674	0.477436704709432	101125.0	267.158738561451	2004.0	"6, 7, 8"
"01121-0003"	33.498328	-86.122667	0.016	0.0227262747252747	0.084	74.0532056956522	76.0	84.8152173913043	1	55370	0.530251038468485	0.0	0.530251038468485	0.469748961531515	0.579953043164168	0.407260249232436	0.0112696405996027	0.336088600756348	30696.0	0.184152457372116	0.495755824453675	23034	0.484414344013198	0.515585655986802	0.885126334983068	0.413772807533843	69200.0	83.3721576876561	2004.0	"6, 7, 8"
"04007-0010"	33.6547	-111.1074	0.041	0.0480890543478261	0.08	88.3626887545389	91.6666666666667	101.210981047938	3	627	0.0	0.0	0.0	1.0	0.926634768740032	0.0	0.125996810207337	0.245019920318725	22149.0	0.0829268292682927	0.5103668261563	643	0.0	1.0	0.488335925349922	0.455414012738854	97900.0	20.3744372516292	2004.0	"6, 7, 8"
"04013-0019"	33.48385	-112.14257	0.036	0.0297742717391304	0.08	91.7870122527472	95.0	104.230769230769	1	584083	0.998111569759777	0.998111569759777	0.0	0.00188843024022271	0.599044998741617	0.0567573444185159	0.497458409164451	0.254038152148931	31794.3157894737	0.226038978219085	0.485092016031968	203852	0.998410611620195	0.00158938837980496	0.932921923748602	0.626286952223706	102589.473684211	4901.79773838485	2004.0	"6, 7, 8"
"04013-1004"	33.56033	-112.06626	0.041	0.0344464239130435	0.087	91.7870122527472	95.0	104.230769230769	1	528722	1.0	1.0	0.0	0.0	0.760955662900352	0.0347687442550149	0.256221606061408	0.240677195365298	39337.3333333333	0.146212720531468	0.497057054557972	223702	1.0	0.0	0.933554460845232	0.620485735354677	122493.333333333	5276.40984921213	2004.0	"6, 7, 8"
"04013-1010"	33.45223	-111.73331	0.035	0.0379615760869565	0.077	87.9715183756868	91.5	100.840301003344	4	250810	0.98972130297835	0.98972130297835	0.0	0.0102786970216499	0.859881982377098	0.0172481161038236	0.160755153303297	0.260979401476875	42960.875	0.0853057796512989	0.509576970615207	112199	0.992014189074769	0.00798581092523106	0.824517152559292	0.577299751378229	125712.5	1203.07593800231	2004.0	"6, 7, 8"
"04013-2001"	33.57454	-112.19196	0.033	0.0305861086956522	0.082	91.7870122527472	95.0	104.230769230769	1	652973	0.999770281466462	0.999770281466462	0.0	2.2971853353814E-4	0.743310979167592	0.0425576555232758	0.283405286282894	0.277679652805813	43498.6111111111	0.126709325364602	0.505589051920983	246418	0.999788976454642	2.11023545357888E-4	0.940503534644385	0.580590877513948	103477.777777778	4771.34387431256	2004.0	"6, 7, 8"
